session_id,gap,query_number,recommender,accuracy,precision,recall,f1_score,overlap
0,1,0,multidimensional_interestingness,0.1,0.1,0.1,0.10000000000000002,0.1
0,1,0,random,0.1,0.1,0.1,0.10000000000000002,0.1
0,1,0,clustering,0.1,0.1,0.1,0.10000000000000002,0.0
0,1,0,frequency,0.2,0.2,0.2,0.20000000000000004,0.2
0,1,0,similarity,0.0,0.0,0.0,0.0,0.0
0,1,0,sampling,0.0,0.0,0.0,0.0,0.0
0,1,1,multidimensional_interestingness,0.6666666666666666,0.8,0.6666666666666666,0.7272727272727272,0.8
0,1,1,random,0.6666666666666666,0.8,0.6666666666666666,0.7272727272727272,0.8
0,1,1,clustering,0.6666666666666666,0.8,0.6666666666666666,0.7272727272727272,0.0
0,1,1,frequency,0.6666666666666666,0.8,0.6666666666666666,0.7272727272727272,0.8
0,1,1,similarity,0.6666666666666666,0.8,0.6666666666666666,0.7272727272727272,0.8
0,1,1,sampling,0.6666666666666666,0.8,0.6666666666666666,0.7272727272727272,0.8
0,1,2,multidimensional_interestingness,0.5,0.5,0.5,0.5,0.5
0,1,2,random,0.5,0.5,0.5,0.5,0.5
0,1,2,clustering,0.5,0.5,0.5,0.5,0.0
0,1,2,frequency,0.625,0.625,0.625,0.625,0.625
0,1,2,similarity,0.5,0.5,0.5,0.5,0.5
0,1,2,sampling,0.5,0.5,0.5,0.5,0.5
0,1,3,multidimensional_interestingness,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
0,1,3,random,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
0,1,3,clustering,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0
0,1,3,frequency,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
0,1,3,similarity,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
0,1,3,sampling,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
0,1,4,multidimensional_interestingness,0.8,0.8,0.8,0.8000000000000002,0.8
0,1,4,random,0.6,0.6,0.6,0.6,0.6
0,1,4,clustering,0.6,0.6,0.6,0.6,0.0
0,1,4,frequency,0.8,0.8,0.8,0.8000000000000002,0.8
0,1,4,similarity,0.8,0.8,0.8,0.8000000000000002,0.8
0,1,4,sampling,0.6,0.6,0.6,0.6,0.6
0,1,5,multidimensional_interestingness,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
0,1,5,random,1.0,1.0,1.0,1.0,1.0
0,1,5,clustering,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0
0,1,5,frequency,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
0,1,5,similarity,1.0,1.0,1.0,1.0,1.0
0,1,5,sampling,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
0,1,6,multidimensional_interestingness,0.0,0.0,0.0,0.0,0.0
0,1,6,random,0.0,0.0,0.0,0.0,0.0
0,1,6,clustering,0.0,0.0,0.0,0.0,0.0
0,1,6,frequency,0.0,0.0,0.0,0.0,0.0
0,1,6,similarity,0.0,0.0,0.0,0.0,0.0
0,1,6,sampling,0.0,0.0,0.0,0.0,0.0
0,1,7,multidimensional_interestingness,0.0,0.0,0.0,0.0,0.0
0,1,7,random,0.0,0.0,0.0,0.0,0.0
0,1,7,clustering,0.0,0.0,0.0,0.0,0.0
0,1,7,frequency,0.0,0.0,0.0,0.0,0.0
0,1,7,similarity,0.0,0.0,0.0,0.0,0.0
0,1,7,sampling,0.0,0.0,0.0,0.0,0.0
0,1,8,multidimensional_interestingness,0.0,0.0,0.0,0.0,0.0
0,1,8,random,0.0,0.0,0.0,0.0,0.0
0,1,8,clustering,0.0,0.0,0.0,0.0,0.0
0,1,8,frequency,0.0,0.0,0.0,0.0,0.0
0,1,8,similarity,0.0,0.0,0.0,0.0,0.0
0,1,8,sampling,0.0,0.0,0.0,0.0,0.0
